"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","SHG","SHA","SHPTS","GWG","ENG","PIM","Active","PPP","PPP_Percentage","RNK"
"Andre Anania","NO",78,2003-03-02,2003,6.01,200,"LD","Sudbury Wolves",35,4,24,28,0.8,37,0,2,1,0,1,1,0,24,1,2,7.1,57
"Kirill Kudryavtsev","NO",29,2004-02-05,2004,6,202,"D","Soo Greyhounds",41,4,24,28,0.68,19,0,7,1,0,1,1,0,12,1,7,25,51
"Mike Levin","NO",16,2005-10-16,2005,5.08,150,"LW","Niagara IceDogs",39,15,12,27,0.69,2,2,2,0,1,1,2,0,23,1,4,14.8,27
"Martin Misiak","NO",90,2004-09-30,2004,6.02,200,"C","Erie Otters",30,13,14,27,0.9,-7,7,5,0,0,0,2,0,21,1,12,44.4,19
"Jacob Therrien","NO",6,2006-02-08,2006,5.08,165,"RW","North Bay Battalion",40,13,14,27,0.68,-6,0,3,0,0,0,0,1,54,1,3,11.1,-13
"Chas Sharpe","NO",28,2003-11-28,2003,6.03,196,"D","Mississauga Steelheads",39,10,17,27,0.69,2,4,10,0,0,0,2,1,18,1,14,51.9,29.5
"Dean Loukus","NO",12,2003-02-12,2003,5.1,180,"RW","Mississauga Steelheads",39,9,18,27,0.69,-7,1,6,0,0,0,1,0,16,1,7,25.9,22
"Andrew Gibson","NO",6,2005-02-13,2005,6.04,206,"D","Soo Greyhounds",41,5,22,27,0.66,19,1,7,0,0,0,1,0,31,1,8,29.6,31
"Will Gerrior","NO",23,2004-03-02,2004,5.1,174,"LW","Ottawa 67's",39,15,11,26,0.67,5,1,2,1,0,1,1,0,14,1,3,11.5,37.5
"Ryan Roobroeck","YES",25,2007-09-25,2007,6.02,195,"LW","Niagara IceDogs",34,12,14,26,0.76,-9,1,2,1,0,1,0,1,12,1,3,11.5,24
"Riley Patterson","YES",21,2006-03-22,2006,6,194,"C","Barrie Colts",37,12,14,26,0.7,-2,0,1,0,0,0,2,0,4,1,1,3.8,39
"Simon Slavicek","NO",61,2004-02-02,2004,6,170,"C","Flint Firebirds",29,9,17,26,0.9,-2,3,2,0,1,1,3,0,2,1,5,19.2,39.5
"Zakary Lavoie","NO",29,2004-03-13,2004,5.1,187,"RW","Brantford Bulldogs",38,15,10,25,0.66,-6,4,0,1,1,2,2,2,20,1,4,16,19
"Gavin Bryant","NO",19,2004-07-24,2004,5.11,192,"C","Niagara IceDogs",33,9,16,25,0.76,-10,2,3,2,3,5,3,1,11,1,5,20,21
"Travis Hayes","YES",13,2007-09-03,2007,5.11,168,"RW","Soo Greyhounds",41,9,16,25,0.61,8,3,3,0,0,0,2,0,28,1,6,24,22
"Anthony Cristoforo","NO",74,2006-02-23,2006,5.11,180,"D","Windsor Spitfires",38,3,22,25,0.66,-18,2,8,0,1,1,1,0,17,1,10,40,4
"Alex Christopoulos","NO",48,2003-03-26,2003,6,195,"RW","Saginaw Spirit",29,14,10,24,0.83,0,6,1,0,0,0,3,0,16,1,7,29.2,27
"Tyson Doucette","NO",25,2004-01-30,2004,5.11,170,"LW","Sarnia Sting",41,14,10,24,0.59,-19,6,1,0,0,0,1,0,32,1,7,29.2,-8
"Vilmer Alriksson","NO",25,2005-02-18,2005,6.06,215,"LW","Guelph Storm",41,9,15,24,0.59,3,6,2,0,0,0,3,0,15,1,8,33.3,28.5
"Kashawn Aitcheson","NO",77,2006-09-21,2006,6.01,191,"D","Barrie Colts",37,7,17,24,0.65,-6,1,5,0,2,2,1,0,62,1,6,25,-28.5
"Ben Danford","NO",77,2006-02-06,2006,6.02,190,"D","Oshawa Generals",39,1,23,24,0.62,8,0,3,0,0,0,0,0,17,1,3,12.5,27.5
"Zach Filak","NO",11,2004-01-21,2004,6,175,"C","Sarnia Sting",37,13,10,23,0.62,-9,2,2,0,2,2,0,0,39,1,4,17.4,-7
"Luke Torrance","NO",17,2004-03-30,2004,6.01,202,"LW","Oshawa Generals",26,11,12,23,0.88,18,4,2,0,1,1,2,0,17,1,6,26.1,41
"Tanner Lam","YES",37,2007-07-14,2007,5.08,140,"RW","Kitchener Rangers",42,8,15,23,0.55,-4,2,2,0,0,0,0,0,2,1,4,17.4,32.5
"Quinton Burns","NO",41,2005-04-14,2005,6.01,178,"D","Kingston Frontenacs",30,2,21,23,0.77,-14,0,11,0,1,1,0,1,64,1,11,47.8,-42.5
"Cole Davis","YES",86,2006-06-22,2006,5.1,175,"LW","Windsor Spitfires",38,12,10,22,0.58,-21,2,2,1,0,1,2,1,27,1,4,18.2,-9
"Jordan D'Intino","NO",38,2003-03-01,2003,6.01,190,"LW","Soo Greyhounds",32,10,12,22,0.69,0,3,1,2,1,3,1,0,19,1,4,18.2,19
"Donovan McCoy","NO",19,2004-11-10,2004,6,198,"RD","Sudbury Wolves",40,6,16,22,0.55,-4,1,6,1,2,3,2,0,37,1,7,31.8,-5
"Matthew Andonovski","NO",5,2005-03-14,2005,6.02,200,"LD","Kitchener Rangers",42,4,18,22,0.52,43,0,0,0,1,1,0,0,85,1,0,0,-7
"Colby Barlow","NO",39,2005-02-14,2005,6.01,195,"LW","Owen Sound Attack",22,14,7,21,0.95,-4,7,1,1,0,1,0,2,4,1,8,38.1,30.5
"Sam McCue","NO",12,2005-10-03,2005,6.01,177,"RW","Owen Sound Attack",40,14,7,21,0.53,-7,5,1,0,0,0,0,0,31,1,6,28.6,0.5
"Kaleb Lawrence","NO",25,2003-01-10,2003,6.06,221,"C","London Knights",33,12,9,21,0.64,4,2,0,1,0,1,2,0,43,1,2,9.5,-1.5
"Spencer Sova","NO",22,2004-01-10,2004,6.01,188,"D","Erie Otters",32,11,10,21,0.66,-11,5,3,0,0,0,2,0,21,1,8,38.1,5
